Year,Team,Opponent,Team_Points,Opponent_Points
2014,central-arkansas,southern-illinois-edwardsville,93,100
2014,central-arkansas,louisiana-tech,57,94
2014,central-connecticut-state,yale,77,93
2014,central-connecticut-state,purdue,73,109
2014,central-connecticut-state,northeastern,69,83
2014,central-florida,florida-state,68,80
2014,central-florida,bethune-cookman,83,63
2014,central-florida,miami-fl,63,58
2014,central-michigan,bradley,70,80
2014,central-michigan,pepperdine,71,88
2014,central-michigan,austin-peay,90,75
2014,central-michigan,montana-state,54,59
2014,charleston-southern,delaware,95,93
2014,charleston-southern,north-carolina-wilmington,78,80
2014,charleston-southern,new-mexico,93,109
2014,charleston-southern,baylor,64,69
2014,charlotte,east-tennessee-state,80,75
2014,charlotte,college-of-charleston,82,83
2014,charlotte,elon,83,69
2014,charlotte,kansas-state,68,61
2014,charlotte,northeastern,86,77
2014,chattanooga,radford,78,89
2014,chattanooga,kennesaw-state,69,73
2014,chattanooga,nevada,81,83
2014,chicago-state,indiana,72,100
2014,chicago-state,jacksonville-state,79,75
2014,chicago-state,bradley,64,77
2014,chicago-state,alabama-state,75,79
2014,chicago-state,illinois,53,77
2014,cincinnati,north-carolina-central,74,61
2014,cincinnati,north-carolina-state,68,57
2014,cincinnati,appalachian-state,77,49
2014,cincinnati,campbell,81,62
2014,citadel,virginia-military-institute,71,82
2014,citadel,army,69,84
2014,citadel,presbyterian,82,68
2014,citadel,tennessee,60,86
2014,citadel,wake-forest,54,82
2014,clemson,stetson,71,51
2014,clemson,delaware-state,58,37
2014,clemson,south-carolina,71,57
2014,clemson,temple,72,58
2014,clemson,davidson,85,54
2014,cleveland-state,iona,73,69
2014,cleveland-state,san-francisco,82,91
2014,cleveland-state,texas-arlington,83,73
2014,cleveland-state,eastern-michigan,69,81
2014,coastal-carolina,akron,63,72
2014,coastal-carolina,mississippi,70,72
2014,coastal-carolina,minnesota,72,82
2014,colgate,wake-forest,78,89
2014,colgate,syracuse,50,69
2014,colgate,cornell,81,58
2014,college-of-charleston,louisville,48,70
2014,college-of-charleston,charlotte,83,82
2014,college-of-charleston,north-carolina-asheville,58,67
2014,college-of-charleston,miami-fl,54,70
2014,colorado,baylor,60,72
2014,colorado,tennessee-martin,91,65
2014,colorado,wyoming,63,58
2014,colorado,jackson-state,94,70
2014,colorado,arkansas-state,93,70
2014,colorado,california-santa-barbara,76,68
2014,colorado-state,gonzaga,61,93
2014,colorado-state,weber-state,88,67
2014,colorado-state,texas-el-paso,74,82
2014,colorado-state,northern-colorado,72,65
2014,columbia,maryland-eastern-shore,73,54
2014,columbia,manhattan,70,71
2014,columbia,michigan-state,53,62
2014,columbia,north-texas,70,66
2014,columbia,portland,52,69
2014,connecticut,maryland,78,77
2014,connecticut,yale,80,62
2014,connecticut,detroit-mercy,101,55
2014,connecticut,boston-university,77,60
2014,connecticut,boston-college,72,70
2014,connecticut,indiana,59,58
2014,coppin-state,california,64,83
2014,coppin-state,oregon-state,78,73
2014,coppin-state,wagner,87,102
2014,cornell,syracuse,60,82
2014,cornell,loyola-md,89,93
2014,cornell,binghamton,79,89
2014,cornell,louisville,54,99
2014,cornell,colgate,58,81
2014,cornell,siena,70,71
2014,creighton,alcorn-state,107,61
2014,creighton,missouri-kansas-city,96,70
2014,creighton,saint-josephs,83,79
2014,dartmouth,bryant,77,87
2014,dartmouth,massachusetts-lowell,77,59
2014,davidson,duke,77,111
2014,davidson,milwaukee,77,81
2014,davidson,virginia,57,70
2014,davidson,georgia,94,82
2014,davidson,clemson,54,85
2014,dayton,ipfw,81,80
2014,dayton,saint-francis-pa,70,56
2014,dayton,st-francis-ny,78,58
2014,dayton,georgia-tech,82,72
2014,delaware,richmond,69,71
2014,delaware,charleston-southern,93,95
2014,delaware,hampton,90,79
2014,delaware,army,89,74
2014,delaware,villanova,80,84
2014,delaware-state,georgia-tech,50,68
2014,delaware-state,clemson,37,58
2014,delaware-state,george-washington,50,94
2014,denver,california,50,77
2014,denver,stanford,57,66
2014,depaul,grambling,96,58
2014,depaul,southern-mississippi,68,75
2014,depaul,wright-state,81,72
2014,depaul,milwaukee,80,71
2014,detroit-mercy,south-alabama,58,74
2014,detroit-mercy,connecticut,55,101
2014,detroit-mercy,james-madison,71,67
2014,detroit-mercy,florida-atlantic,77,44
2014,drake,illinois-chicago,61,59
2014,drake,saint-marys-ca,63,67
2014,drexel,ucla,67,72
2014,drexel,illinois-state,78,70
2014,drexel,elon,71,64
2014,drexel,rutgers,70,59
2014,duke,davidson,111,77
2014,duke,kansas,83,94
2014,duke,florida-atlantic,97,64
2014,duke,north-carolina-asheville,91,55
2014,duke,east-carolina,83,74
2014,duquesne,abilene-christian,94,75
2014,duquesne,new-hampshire,81,84
2014,duquesne,west-virginia,83,96
2014,duquesne,albany-ny,70,59
2014,east-carolina,north-carolina-greensboro,85,84
2014,east-carolina,norfolk-state,76,74
2014,east-carolina,duke,74,83
2014,east-tennessee-state,charlotte,75,80
2014,east-tennessee-state,morehead-state,63,71
2014,east-tennessee-state,western-kentucky,50,57
2014,east-tennessee-state,winthrop,66,76
2014,east-tennessee-state,samford,89,75
2014,eastern-illinois,northwestern,55,72
2014,eastern-illinois,illinois-chicago,86,66
2014,eastern-illinois,purdue,55,83
2014,eastern-kentucky,florida-international,83,61
2014,eastern-kentucky,kennesaw-state,68,60
2014,eastern-kentucky,youngstown-state,67,75
2014,eastern-kentucky,high-point,74,67
2014,eastern-kentucky,alabama-am,82,68
2014,eastern-michigan,robert-morris,69,64
2014,eastern-michigan,cleveland-state,81,69
2014,eastern-washington,washington,80,92
2014,eastern-washington,boston-university,80,68
2014,elon,marist,75,48
2014,elon,charlotte,69,83
2014,elon,drexel,64,71
2014,elon,canisius,85,86
2014,evansville,iupui,84,78
2014,evansville,mercer,89,76
2014,evansville,valparaiso,100,92
2014,fairfield,sacred-heart,67,54
2014,fairfield,hartford,53,63
2014,fairfield,loyola-md,52,59
2014,fairfield,holy-cross,49,63
2014,fairleigh-dickinson,hofstra,58,80
2014,fairleigh-dickinson,hartford,60,74
2014,fairleigh-dickinson,arizona,50,100
2014,florida-am,rutgers,84,92
2014,florida-am,princeton,50,67
2014,florida-am,stetson,63,60
2014,florida-am,toledo,69,79
2014,florida-atlantic,st-francis-ny,57,59
2014,florida-atlantic,duke,64,97
2014,florida-atlantic,boston-college,79,82
2014,florida-atlantic,detroit-mercy,44,77
2014,florida,north-florida,77,69
2014,florida,wisconsin,53,59
2014,florida,arkansas-little-rock,86,56
2014,florida,southern,67,53
2014,florida,middle-tennessee,79,59
2014,florida-gulf-coast,nebraska,55,79
2014,florida-gulf-coast,hartford,65,51
2014,florida-gulf-coast,furman,70,69
2014,florida-international,eastern-kentucky,61,83
2014,florida-international,youngstown-state,72,74
2014,florida-international,kennesaw-state,66,58
2014,florida-international,texas-southern,70,68
2014,florida-international,stetson,75,66
2014,florida-international,bethune-cookman,82,67
2014,florida-state,jacksonville,91,67
2014,florida-state,central-florida,80,68
2014,florida-state,tennessee-martin,89,61
2014,florida-state,virginia-commonwealth,85,67
2014,florida-state,michigan,80,82
2014,fordham,saint-francis-pa,87,67
2014,fordham,syracuse,74,89
2014,fordham,lehigh,80,72
2014,fresno-state,california-irvine,98,97
2014,fresno-state,pittsburgh,54,75
2014,fresno-state,cal-state-northridge,80,64
2014,fresno-state,cal-poly,63,46
2014,furman,gardner-webb,75,64
2014,furman,florida-gulf-coast,69,70
2014,gardner-webb,xavier,59,83
2014,gardner-webb,furman,64,75
2014,gardner-webb,jacksonville,87,78
2014,george-mason,american,63,60
2014,george-mason,lamar,68,54
2014,george-mason,northern-iowa,76,70
2014,george-mason,saint-francis-pa,58,46
2014,george-washington,radford,76,54
2014,george-washington,maine,108,81
2014,george-washington,manhattan,80,74
2014,george-washington,delaware-state,94,50
2014,georgetown,oregon,75,82
2014,georgetown,wright-state,88,70
